TeamName,Score
Ujwal Kovuri,0.0300052
Alex Bloom,0.0300032
"Nikita Shapovalov (MMP, MSU, RUSSIA)",0.0300027
Kike Herreros,0.0299999
steelrose,0.0299966
Hacking_Bank_Data,0.0299941
insist,0.0299893
Jolycrew,0.0299869
RDizzl3,0.0299861
Noam Brezis,0.0299842
ncavallo,0.0299821
Daniel Bartolomé,0.0299781
Justfor,0.0299779
Mark,0.0299777
MG1633045,0.0299773
Silogram,0.0299756
NoIdeaWhatsoever,0.0299754
ChrisJung,0.029975
kubilai,0.029971
三个和尚没水喝,0.0299679
utility,0.0299677
Vladimir Iglovikov,0.0299623
FJR2,0.0299618
Damodar,0.0299603
Ruben Gundersen,0.0299602
Mike,0.0299584
aeropostale,0.0299582
CL,0.0299529
Pali,0.029952
chenhl,0.0299514
epsilon,0.0299504
MG1633080,0.0299494
SushengZhou,0.0299481
Mike Kim,0.0299434
Vilen Jumutc,0.0299424
SigmaField,0.0299395
鑫 侯,0.0299365
nickreinerink,0.0299359
tangdun,0.0299343
Allegro,0.029932
SR,0.0299286
Poisson Fumé,0.0299265
Janos,0.0299252
tedJeong,0.0299237
RB,0.0299192
LSAITOP,0.0299173
Brown Boost,0.0299161
CalmeToi,0.0299148
Misfyre,0.0299145
Unnamed,0.0299112
simon,0.0298946
Alberto Polidura,0.029894
AG,0.0298936
Òscar,0.0298858
Mathurin Aché,0.029883
shindannin,0.0298788
Ismail64,0.0298689
DavidGbodiOdaibo,0.0298622
NikitaLyapin,0.0298531
Franck,0.0298511
Bucknell,0.0298491
cfceric,0.0298485
AB1234567,0.0298484
Mohsin hasan,0.0298414
kvnkho,0.0298407
dsarkar,0.0298011
Henri Vanderwater,0.0297983
MG1633072,0.0297917
Tod Wright,0.0297564
eljeilany,0.029756
Latte,0.0297531
Vacations,0.0297437
AaronXu,0.0297409
DZ1633001,0.0297398
on_the_go,0.0297393
bunterrrrr,0.0297343
DZ1633012,0.0297083
chengscu,0.0297034
高颜值队伍专用队名,0.0296448
DonatasZ,0.0296176
Wenjian Hu,0.0296123
"Oleg Ivanov (MMP, MSU, Russia)",0.0295902
Pastori,0.0295639
Cosmos,0.0295604
台灣人94狂,0.0295583
KMen,0.0295418
simonm3,0.0295133
Ronald Yang,0.0295033
DZ1633016,0.0294912
team001,0.029487
ironbar,0.0294791
Sergio Capone,0.0294751
icewater,0.0294677
longdonjack,0.0294664
Daniel FG,0.0294582
OttoP,0.029446
all_random,0.0294445
MF1633038,0.029444
delta,0.0294424
MF1633003,0.0294263
Elena Cuoco,0.0294197
MG1633073,0.0294169
towelie,0.029412
dev01@jasrco.com,0.0294079
MG1633025,0.0293981
Willem Mestrom,0.0293866
fatarea,0.0293686
Govinda Puthalapat,0.0293543
MG1633065,0.0293536
Dove la banca?,0.0293502
MF1633037,0.0293465
yilisg,0.0293204
neongen,0.0292953
Mehdi Pedram,0.0292905
happycube,0.0292818
Ouranos,0.0292774
DZ1633005,0.029259
Alexander Popov,0.0292582
xixibing,0.0292364
Luis Andre Dutra e Silva,0.029235
Andrey  Akhmetov,0.0292296
Medrr,0.0292276
"Alexey Györi (MMP, MSU, Russia)",0.0292149
windforever,0.0292106
Marius Bock,0.0292103
jesting.pilate,0.0292099
Bruno16,0.0292035
Sheng,0.0292004
gavrand,0.0291974
zen,0.0291916
Robert Martin,0.0291911
James Z,0.0291899
Bojan Tunguz,0.0291877
smota,0.0291874
yogeshkumar,0.0291874
Click Submit Easy Peasy,0.0291874
JohnM,0.0291864
Tudor Morosan,0.029186
NNSMedia,0.0291853
Erik,0.0291852
AnaM,0.0291796
clustifier,0.0291795
ZeroDivisionError,0.0291786
MF1633067,0.0291779
CihanCoşartekin,0.0291753
Tilii,0.029175
test-test,0.0291748
David,0.029174
Shuvayan Das,0.0291727
MG1633088,0.0291724
jeannief,0.0291701
Panjtan,0.0291699
MG1633075,0.0291698
MG1633037_1,0.0291694
MG1633076,0.0291679
Paulo Pinto,0.0291662
Aayush Agrawal,0.0291658
BG,0.0291656
Andreisun,0.0291654
MF1633054,0.0291637
"Nikita Romanov (MMP, MSU, Russia)",0.0291636
inversion,0.0291631
Hyun Ook Ryu,0.029161
Leandro Coelho,0.0291599
Prestonite,0.0291589
Øystein Schønning-Johansen,0.029157
DeepikaReddy,0.0291568
rj,0.0291565
Andy Shkabko,0.0291556
MF1633060,0.0291552
MG1633005,0.0291551
stockpile,0.0291548
ss,0.0291524
serega,0.0291523
Santanamr3,0.0291521
Freeman,0.0291515
NxGTR,0.0291504
DataGeek,0.0291504
Ayman Khalafallah,0.0291504
Abhilash Awasthi,0.0291504
Lawrence Chernin,0.0291504
Geeko,0.0291504
standard,0.0291504
Ashokkumar,0.0291504
Scirpus,0.0291504
KGA,0.0291504
Obel,0.0291504
Demoonism,0.0291504
Nilotpal Sinha,0.0291504
Sergey Sukhanov,0.0291504
海牙扛霸子,0.0291504
Anjana Agrawal,0.0291504
AUC,0.0291504
DeepBox,0.0291504
ITankoyeu,0.0291504
wally,0.0291504
Johnny Strings,0.0291504
KirillLisenkov,0.0291504
poteman,0.0291504
404,0.0291504
wicky,0.0291504
J,0.0291504
Alexandr Seleznyov,0.0291504
Wei,0.0291504
Andrey Vykhodtsev,0.0291504
Mark Peng,0.0291504
MF1633008,0.0291504
Saibal Dutta,0.0291504
Anil Shukla,0.0291504
MG1633062,0.0291504
cud155,0.0291504
Victor007,0.0291504
MG1633109,0.0291504
hamelg,0.0291504
russo scientisto,0.0291504
Srikanth Iyer,0.0291504
Danny P.,0.0291504
Philip Popien,0.0291504
Bogdan Ghenea,0.0291504
Krish Mahajan,0.0291504
Priest,0.0291492
DimaF,0.0291492
MF1633010,0.0291461
Mike Pearmain,0.0291457
SauravKaushik8,0.0291457
Wenlong Shen,0.0291451
SBoost,0.0291449
INT Data,0.0291445
Stoik,0.0291444
sphuyal,0.0291443
Pablo Araya-Melo,0.0291443
FLeite,0.0291443
ChipMonkey,0.0291443
Here to discover,0.0291443
Tina,0.0291443
vishallakha,0.0291443
TheAnalyticProphet,0.0291443
Brendan Borin,0.0291443
DmitryChechushkov,0.0291433
LMA,0.029143
MG1633038,0.0291424
Santa's Elves,0.0291421
gshp,0.0291414
jogadr,0.0291395
Louie Menard,0.0291393
DaisyJesse,0.0291381
ilovescience,0.029138
Miguel 2,0.0291377
sergeevii123,0.0291377
Nirupam Kar,0.029137
Phil Avdeev,0.0291357
Litho,0.029132
openneuron,0.0291304
Givedata(),0.02913
Andrey B,0.0291297
MG1633039,0.0291293
Akila Wajirasena,0.0291276
sleepless0_0,0.0291269
dividedbyZero,0.0291248
deadmau,0.0291241
Polaris,0.0291241
Victor,0.0291236
Hendrik Hilleckes,0.0291233
Shark,0.0291227
MG1633047,0.0291227
DZ1633018,0.0291166
MG1633095,0.0291163
Anirudh Raghavan,0.0291143
Aida Getoeva (MMP MSU),0.0291142
Alexey Kisel,0.0291123
Mathn,0.0291084
Ranga,0.0291084
YanYan,0.0291048
MG1633087,0.0291025
svam,0.0290997
MF1633056,0.0290997
MG1633027,0.029099
tusha kutusha,0.0290977
MG1633069,0.0290973
meena,0.0290885
Junyan Gao,0.029087
Mads,0.0290863
ghmatscut,0.0290843
ShutUpAndTakeTheMoney,0.029084
MG1633105,0.0290747
abhijit,0.0290584
lakomka33,0.0290545
Rafa,0.0290545
winningpreposition,0.0290545
haisland0909,0.0290545
Minnilyn,0.029052
databolism,0.029052
JeffH,0.029052
Black Sabbath,0.029052
MG1633043,0.0290494
Karan,0.0290494
MF1633062,0.029048
Roman Shirochenko,0.0290448
山东组合,0.0290446
MF1633039,0.0290432
DZ1633019,0.0290425
Rahul_Modi,0.0290402
danieleewww,0.0290306
simonism,0.0290233
MG1633009,0.029022
MG1633029,0.0290095
MF1633002,0.0290076
nu,0.0290053
ktts1031,0.028996
PonSatangput,0.028995
MF1633046,0.0289789
MF1633016,0.0289767
MF1633050,0.0289689
Santanu,0.0289679
RandomGuessOne,0.0289597
MG1633083,0.0289432
MG1633001,0.0289432
Sassoon Kosian,0.0289412
Willie Liao,0.0289282
TheDude,0.0289195
Yang Yang,0.0289158
Rich Sykes,0.0289075
William Hau,0.0289006
WaqasBukhari,0.0289006
andrekos,0.0288972
schmohawk,0.0288971
tkchka,0.0288964
MG1633015,0.0288931
Enzo,0.0288926
Рии Ток,0.0288909
Aaron Yu,0.0288907
zhuxi,0.0288883
Romain Gauthier,0.0288858
quadcore,0.0288857
Manohar Swamynathan,0.0288843
Pierre Sardin,0.0288832
Soren,0.0288809
WaelOthmani,0.0288805
NWPU_dhc,0.0288785
Soumitra Agarwal,0.0288777
d4t4v1z,0.0288777
Sonny Laskar,0.0288777
Andrey Kiryasov,0.0288751
liuzq,0.0288751
MF1633011,0.0288751
ChenCheng,0.0288736
"Tasnima Sadekova (MMP, MSU, Russia)",0.0288697
cramosu,0.0288664
MF1633035,0.0288654
MF1633004,0.0288654
MG1633078,0.0288654
redbeans_pastry,0.0288624
mnov,0.0288598
Yohan Lee,0.0288561
MF1633018,0.0288511
lmjwill,0.0288494
xyz,0.0288494
Vasiliy Mosin,0.0288482
iris2007,0.0288458
ultradot,0.0288447
SanjayDeshpande,0.0288444
 DZ1633007,0.0288438
MG1633107,0.0288435
Nathaniel Shimoni,0.0288431
vind,0.02884
MG1633094,0.0288394
Mikelangel,0.0288385
John Seamons,0.028838
Andrey Ostapets,0.028838
Kjetil Åmdal-Sævik,0.0288378
Amy Li,0.0288378
Carlos Brioso,0.0288378
MG1633023,0.0288378
MG1633031,0.0288378
DZ1633008,0.0288378
ChengChe,0.0288378
DK007,0.0288378
James,0.0288378
MG1533014,0.0288366
Andrei Gorchakov,0.0288358
Andrew Grinenko,0.0288326
CeShine Lee,0.0288304
Anand Jeyahar,0.0288293
"Ayat Ospanov (MMP, MSU, Russia)",0.0288292
CharlieW,0.0288279
Ashok Davas,0.0288279
Lucas,0.0288279
DZ1633002,0.0288279
MG1633104,0.0288279
MF1633044,0.0288279
MG1633057,0.0288279
MG1633074,0.0288279
Harold Squid,0.0288219
DynamicDuo,0.0288213
whao,0.0288194
Jules,0.0288181
DZ1633017_,0.0288176
MF1633070,0.0288158
DaveH,0.0288147
Damian Mingle,0.028809
"Daria Soboleva (MMP, MSU, Russia)",0.0288044
thechipmunk,0.0287981
MiguelSuazoIbarra,0.0287971
whippersnapper snapper whiffer,0.0287956
MG1633101,0.0287908
MF1633064,0.028789
"Styopina Alexandra (MMP, MSU, Russia)",0.0287868
MF1633021,0.0287771
HIT_Random,0.0287606
HwanbaeKim,0.0287585
DZ1633013,0.0287573
LivingProgram,0.0287539
MaciejN,0.0287535
Andrew Khalel,0.0287169
Russ Boucher,0.0287169
AMilkov,0.0287169
carl,0.0287165
youshu,0.0286707
MG1633049,0.0286594
evelynzl,0.0286307
lzwhite,0.0286229
Shan Ren 7,0.0285991
MoonhwiLee,0.0285848
Ivan,0.0285727
MG1633011,0.0285583
Grudniu.K,0.0283748
Horia ,0.0281792
MG1633093,0.0281248
KikiMeow,0.0280835
MG1633077,0.0280582
hong yong,0.0280518
MF1533012,0.028034
mathlim,0.0280188
MG1633098,0.0279655
.,0.0279292
Terence,0.0278854
cheol-ungpark,0.027857
liptonkoko,0.0278266
TheDub,0.0277807
chronos,0.0276714
Dean Wu,0.0276169
ChangheeLyu,0.027572
SeongYunByeon,0.0274853
ezyyyy,0.0274261
ElChacal,0.0274222
Paweł Romański,0.0273647
Belinda Trotta,0.0273489
MF1633066_2,0.0272603
MF1633007 2,0.0272603
HawkWang,0.0272434
rsent,0.0272267
mr_wang,0.0272242
Ben Fransen,0.0272166
CodeMonkeys,0.0272166
DokteurWho,0.0272166
LolaChen,0.0272166
Jeyhun Babirzade,0.0272166
Naz Levent,0.0272166
infinex,0.0272166
MF1633048,0.0272166
Vinh Nguyen,0.0272166
MG1633084_1,0.0272166
MG1633106,0.0272166
E,0.0272166
Muhammad Ahmed Rao,0.0272166
MF1633040,0.0271525
Deadshot,0.0271063
Abolfazl,0.0271063
sarogaga,0.0271063
Shakti Jajpura,0.0271006
Francois Lemoine,0.0270992
Steven,0.0270951
mr_yogurt,0.0270933
MadalinaDragomir,0.0270919
DDgg,0.0270874
Dan Li,0.0270861
Guruprasad Venkataraghavan,0.0270861
thedoctor46,0.0270861
James Lawrence,0.0270861
Tetiana Kudriavtseva,0.0270861
DZ1633020,0.0270861
SkyBlazer,0.0270825
alup,0.0270818
the1owl,0.0270815
DL,0.027079
Sapphire,0.027079
Rishikesh,0.027079
Anjith George,0.0270776
郁孤台下清江水,0.0270767
ENSAE ParisTech students,0.0270764
Sergei Bugrov,0.0270762
Benjamin Chu,0.0270762
Niranjan Singh,0.0270762
Round Tofu,0.0270762
Franck 2,0.0270762
Michael Pawlus,0.0270762
==>(AL)<==,0.0270762
Sandaga,0.0270762
sidb,0.0270762
Fabian Schreiber,0.0270762
MujtabaAsifAasi,0.0270762
Bhambhani Mohan,0.0270762
Niranjan Kumar Nakkala,0.0270762
Alex Parinov,0.0270762
"Ruslan Kamalov (MMP, MSU, RUSSIA)",0.0270745
XKaggler,0.0270744
Khanna,0.0270744
VasilyZverkov,0.0270738
Seyednaser Nourashrafeddin,0.027072
ChengjiYao,0.0270704
MG1633091,0.0270689
Li Li,0.0270678
Aditi Agrawal,0.0270652
Aleksey Kulikov,0.027063
Zveroloff,0.0270613
nkfranklin,0.027061
YingqiLiu,0.02706
MG1633097_1,0.0270594
Thanos,0.0270591
StatMach,0.0270591
goodman,0.0270578
Nikita Molostvov,0.0270565
Fasilkom UI - B.I.smillah,0.0270563
Adil,0.0270562
Nilanjan Chattopadhyay,0.0270559
semaphore,0.0270559
MG1633102,0.0270559
VinodMangipudi,0.0270558
nickcdryan,0.0270558
MF1633029,0.0270558
Xinmiao Wang,0.0270554
VinnieLiu,0.0270554
sarahrbailey,0.0270554
Dani Chu,0.0270554
SUNGh,0.0270554
Edgars L,0.0270551
mylearn,0.027055
DZ1633011,0.0270547
MadhurModi,0.0270544
DMBInya UI,0.0270544
Manuel Díaz,0.0270535
Rodrigo Salas,0.0270525
Ivan Chernukha,0.0270523
XiaoyanLi,0.0270521
franta polach,0.0270507
Andres,0.0270505
MG1633051,0.0270497
Amit Choudhary,0.027048
Kevin Diaz,0.0270448
ZoyaBarabanova,0.0270447
Rob Treichler,0.0270445
papadopc,0.027044
emrahyigit,0.027044
echooo,0.027043
Vladimir Milushev,0.0270404
Happily ever after,0.02704
Li-Der,0.0270397
kipas angin,0.0270383
MG1633003,0.0270375
MF1633034,0.0270372
ShopTeriyaki,0.0270371
zhenyang_pan,0.0270361
Mujtaba Hasan,0.0270361
HasbyRosyadi,0.0270361
Michael Wallin,0.0270361
AlexBzH,0.0270344
MF1633068,0.0270335
Emanuel Sena,0.0270308
GaoYL,0.0270283
MF1633013,0.0270283
nara clan,0.0270254
Carlos Fernandez-Basso,0.0270242
Guang Wei Yu,0.0270215
MG1633053,0.0270189
xiyacao,0.0270186
adilshv,0.0270156
santhoshkumar,0.0270141
MF1633049,0.0270136
Faramita,0.0270129
bluebank.io,0.0270129
MG1633070,0.0270122
MG1633058,0.0270122
Adam Munro,0.0270112
MG1633048,0.0270084
dlerch,0.0270083
Luke Plewa,0.0270068
Hari Seldon,0.0270035
BoulderKiwi,0.0270033
Srinivas vaddi,0.0269985
MG1633054,0.0269976
Marcello Negro,0.0269934
TCAP,0.0269914
HangYu,0.0269902
Ashwin Nimhan,0.0269902
GuillaumeTouzin,0.0269902
geoHeil,0.0269882
DataStunner,0.0269874
nanistheloneliest,0.0269871
casia_mhw,0.0269848
MG1633050,0.0269822
kengle,0.0269805
Jeff Delaney,0.0269793
tamer,0.0269793
PradeepHegde,0.0269793
connectwithghosh,0.0269793
loweew,0.0269792
lebowski,0.0269723
VitaliyDenisov,0.0269713
MF1633001_1,0.0269691
inno_Sherafgan,0.0269681
GLR,0.0269681
MG1633079,0.0269681
Anastasya Rysmyatova(MMP MSU),0.0269681
eric_d,0.0269658
MG1633068,0.0269598
Valentin Zambelli,0.0269572
Amit Sood,0.0269567
MF1633025,0.0269537
MG1633026,0.0269518
mtgarden,0.0269489
Murat Aydogdu,0.0269473
Umar Farouq Khattab,0.0269473
smartboy,0.0269448
Kimono,0.0269421
MG1633061,0.0269417
jputila,0.0269393
MF1633058,0.0269392
MF1633059,0.0269392
MF1633031_NJU,0.0269392
DmitryKotovenko,0.0269381
MC Cabanillas,0.026938
MF1633005,0.0269372
MF1633041,0.0269352
mamopublic,0.0269305
WeiweiHu,0.0269302
gpvg,0.0269297
neo6.0,0.0269277
DZ1633003,0.0269269
Yasuhiro Miki,0.0269265
TestTeamPleaseDelete,0.0269203
MG1633004,0.0269191
Pag2,0.0269189
MG1633019,0.0269165
brassmonkey,0.0269142
Sundong Kim,0.0269142
"Anton Andreitsev (MMP, MSU, RUSSIA)",0.0269142
Eade1234,0.0269133
MoonHunter,0.0269129
guillaume,0.0269112
MF1633032,0.0269105
MF1633042,0.0269105
MG1633008,0.0269102
orbanjan,0.0269089
MG1633006,0.0269058
BiUI,0.0269055
flightrush,0.0269033
Daniel,0.0269033
Mohammed Niyas,0.0269033
imbarpjy,0.0269015
A Selalu - Fasilkom BI Gasal 2016/2017,0.0269006
meikegw,0.0268986
lusantlueg,0.0268973
Nemesis,0.0268965
amBIs Fasilkom,0.0268943
bobhao,0.0268937
MG1633103,0.0268931
Full Clarity,0.0268922
MF1633015,0.0268918
MF1633024,0.0268904
Arfa,0.0268896
MG1633030,0.0268896
alpoza,0.0268855
sans aja,0.0268854
DZ1633014,0.0268852
Renjith Madhavan,0.026885
omarsamir,0.0268844
Shane,0.0268839
frontlook,0.0268825
Daneil,0.0268815
Armin,0.026881
MG1633085,0.0268798
Rémi 2,0.0268785
MG1633002,0.0268736
NileshRathod,0.0268719
RodneyRick,0.0268712
Andrew,0.0268707
MG1633021,0.0268705
happymonkey,0.0268702
Natheer M. A. Alabsi,0.0268687
Data Solver UI,0.0268682
Shahrouz Raeisi,0.0268681
Tarek Ben Sassi,0.0268676
Vihang Patil,0.0268667
Wait!,0.0268656
FasilkomSaik,0.0268651
MF1533076,0.0268651
rybick,0.0268649
DataStar,0.0268627
Alexander Vovchenko,0.0268627
Alexey Miasnikov,0.0268627
Simon McAlister,0.0268627
Dsaf,0.0268627
DotunOwoade,0.0268627
alberto.cc,0.0268627
Mritunjay Kar,0.0268627
Beta Bots,0.0268627
Fasilkom Pemula,0.0268627
mingming,0.0268627
Dimitris Leventis,0.0268627
Ankur Verma,0.0268627
MF1633006,0.0268627
danidarshit,0.0268627
cnHeider,0.0268627
barathiganesh,0.0268627
NavdeepGill,0.0268627
MG1633018,0.0268627
dchaimow,0.0268627
leexa,0.0268627
MF1633023,0.0268627
cromatog,0.0268627
Alexander Kirichkov,0.0268627
YangzheLiu,0.0268627
Suraj Nambiar,0.0268627
mf1633014,0.0268627
MG1633041,0.0268627
caparacious,0.0268627
Dawny33,0.0268627
MG1633060,0.0268627
mujjiga,0.0268627
General_FC,0.0268627
Streeb1521,0.0268627
SIGMAP,0.0268627
Firhat Nawfan Hilmanda,0.0268624
Crescio,0.0268583
LazyZergling,0.0268557
fsodogandji,0.0268538
shs77,0.0268538
SaurabhAgrawal,0.0268538
Jose Pedro Trocado Moreira,0.0268538
Chiaku,0.0268538
JeanJean,0.0268538
MG1633081,0.0268538
Anton Palmov,0.0268518
MF1633019,0.0268394
MG1633012,0.0268394
MF1633052,0.0268224
Mickey,0.0268047
Eris,0.0268023
yyss,0.0267938
AdamWolfeLevin,0.0267453
rockstars,0.026709
Jesrael K Mani,0.026679
ShazHoda,0.0266722
Raymond| ImSoriano,0.0266571
Antonio Clavelli,0.0266511
MG1633040,0.0266389
Andaman,0.0266057
Shypila & Lastauka,0.0265501
PeterHuang,0.0264977
MF1633020,0.0264266
Thenobble1,0.0264171
SimonStensson,0.026346
Sean Wang,0.0263165
MF1633026,0.0263084
Lantana Camara,0.0262265
TeamModeler,0.0260872
RohitApte,0.0260181
David Ma,0.025947
Vlad Balanda,0.0258579
Sam Shleifer,0.0258579
Arpit Jain,0.0258579
thomasjpfan,0.0258579
Roii,0.0258556
starmie,0.025838
Manashree,0.0258178
Jay J.Thiagarajan,0.0257805
Sehadoop Sematrix,0.0257632
Tazhoo Deen,0.0257632
Kain,0.0257632
zmingshi,0.0257583
w,0.0257469
Paul D,0.0257456
Shreyans Dhankhar,0.0257456
square7,0.0257413
Zboson,0.025741
Djask,0.025729
minortune,0.025729
thisHereNow,0.0257286
cyberduck,0.0257252
GokulP,0.0257251
jrice,0.0257251
Chris Choy,0.0256899
AtanuMazumdar,0.0256821
Diffusion iterator,0.0256773
hikomimo,0.0256717
KearaJones,0.0256627
cocave,0.0256579
miguel perez,0.0256539
Sashikanth Dareddy,0.0256288
brrrr...,0.0255224
Doron Rippel,0.0254005
Magnus Gyllenhammar,0.0253972
cultists,0.0253245
Herra Huu,0.0252463
CuteChibiko,0.0252357
Harizo R.,0.0252051
NetworkMiner,0.025201
YuusukeOmae,0.0251816
MH23333,0.0251692
Far East Group,0.0251314
something4kag,0.0250638
Barry Zhai,0.0250337
Pa,0.0250109
RMR.949,0.0250109
Yuichi Iwanami,0.0249921
ugurcaliskan,0.0249921
Sterby,0.0249921
algo.ai,0.0249883
Rodrigo Rezende,0.0249883
raghvendra singh,0.0249883
Lambor \m/,0.0249883
FLFOL,0.0249883
Behrang,0.0249622
Valeriu Radu,0.0249538
MelvinDunn,0.0249538
Diego Espínola,0.0249457
daten-kieker,0.0249457
SSA,0.0249388
Olalekan,0.0249388
Bonferroni27,0.0249388
David Buitrago Arenas,0.0249379
Hakeem,0.0249378
pierre dodin,0.024888
Kostya Proskudin,0.0248336
Nick Deligiannis,0.0248069
Jose Luis Arenas,0.0247737
Tinarg,0.0247706
( ͡° ͜ʖ ͡°),0.0247521
GRIMA,0.024738
队名要讲究,0.024723
SonyaS,0.0247061
dmpt,0.0246549
ZhejunZheng,0.0246548
litaiyi,0.0246548
jyacky,0.0246516
AlGiLa,0.0245824
DzmitryKishylau,0.0245581
NestaTacklingResta,0.0245103
facu zeta,0.0245022
BiUI 2,0.0244364
SouvikSahaBhowmik 2,0.0244335
Mohsen,0.0244072
Juan,0.024345
Thomas O'Malley,0.0243409
ML-Bure,0.0243036
Rao and Rao,0.0242218
damagar,0.0241942
BernoulliBagels3,0.0241891
isk4tel,0.0241861
VivekPraturi,0.0241848
HulkBulk,0.0241848
ovlaere,0.024184
Eternity,0.0241822
Jeramy,0.0241822
Carlos Roig,0.0241819
Ali el Hassouni,0.0241819
Archy,0.0241819
Yuqing Xue,0.0241819
Jason Miller,0.0241819
dunzanburren,0.0241819
Zhihua Liang,0.0241819
ArindamDutta,0.0241819
libaier,0.0241819
Timur Islamov,0.0241819
Yasar,0.0241799
Najeeb Khan,0.0241799
ocolegro,0.0241798
Dan L,0.0241798
SH3ll3R,0.0241798
Yu Hai,0.0241623
Pietro Marini,0.0240359
MG1633096,0.0240266
BlackMagic,0.0239608
qualcuno,0.0239599
Invincible,0.0239474
satadru5,0.0239474
Bcottman,0.0239474
Leo,0.0239474
Achal,0.0239474
solomonk,0.0239452
BadGeorge,0.0239442
Nesso,0.0239335
AlexandreGuinaudeau,0.0238302
yobaba,0.023805
meowmeowmeow,0.0238037
Palaeontologist,0.0237962
RaisinsForBrains,0.0237906
FMG,0.0237664
